code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A005930,samsung,KOSPI,20000104,35564,36142,30274,30274,1685402,105021000000,33741000,1021475000000,5.590000152587891,0,0
A005930,samsung,KOSPI,20000105,26673,26673,26673,26673,65992,3521000000,33741000,899973000000,5.590000152587891,0,0
A005930,samsung,KOSPI,20000106,25339,26584,23472,23472,1614495,77709000000,33741000,791968000000,5.420000076293945,0,0
A005930,samsung,KOSPI,20000107,20672,20672,20672,20672,72740,3007000000,33741000,697493000000,5.409999847412109,0,0
A005930,samsung,KOSPI,20000110,20672,21783,18226,20894,4211321,167061000000,33741000,704984000000,5.789999961853027,0,0
A005930,samsung,KOSPI,20000111,23383,23383,22316,23383,892106,41611000000,33741000,788965000000,6.25,0,0
A005930,samsung,KOSPI,20000112,20583,26095,20583,21961,4700130,221186000000,33741000,740986000000,7.489999771118164,0,0
A005930,samsung,KOSPI,20000113,20716,21961,19338,19338,2705731,107216000000,33741000,652483000000,7.130000114440918,0,0
A005930,samsung,KOSPI,20000114,20005,21650,17026,20760,3854940,145484000000,33741000,700463000000,7.130000114440918,0,0
A005930,samsung,KOSPI,20000117,22228,23250,19916,23250,2801207,124103000000,33741000,784478000000,7.28000020980835,0,0
A005930,samsung,KOSPI,20000118,23561,26006,23383,26006,1450563,73448000000,33741000,877468000000,7.349999904632568,0,0
A005930,samsung,KOSPI,20000119,28807,29029,22894,23028,4207969,222046000000,33741000,776987000000,7.039999961853027,0,0
A005930,samsung,KOSPI,20000120,23117,25517,20894,24984,3813186,178125000000,33741000,842985000000,7.019999980926514,0,0
A005930,samsung,KOSPI,20000121,24984,26495,23561,24450,3033729,153572000000,33741000,824967000000,7.050000190734863,0,0
A005930,samsung,KOSPI,20000124,24095,25251,24050,24272,1708312,83900000000,33741000,818961000000,7.489999771118164,0,0
A005930,samsung,KOSPI,20000125,21783,22939,21383,21383,1429306,62825000000,33741000,721483000000,7.449999809265137,0,0
A005930,samsung,KOSPI,20000126,21783,22228,18938,19560,2220094,89693000000,33741000,659973000000,7.420000076293945,0,0
A005930,samsung,KOSPI,20000127,18226,18671,17248,17248,1390273,49288000000,33741000,581964000000,7.340000152587891,0,0
A005930,samsung,KOSPI,20000128,16093,19293,15737,19293,2901616,102661000000,33741000,650965000000,7.199999809265137,0,0
A005930,samsung,KOSPI,20000131,18938,21605,18315,21605,1162958,48250000000,33741000,728974000000,8.0,0,0
A005930,samsung,KOSPI,20000201,24184,24184,24184,24184,197847,9570000000,33741000,815992000000,8.0,0,0
A005930,samsung,KOSPI,20000202,24939,26584,24006,24806,3251675,163493000000,33741000,836979000000,7.829999923706055,0,0
A005930,samsung,KOSPI,20000203,27740,27740,26495,27740,1134796,31369000000,33741000,935975000000,8.029999732971191,0,0
A005930,samsung,KOSPI,20000207,31030,31030,31030,31030,70401,2185000000,33741000,1046983000000,8.029999732971191,0,0
A005930,samsung,KOSPI,20000208,34675,34675,30052,34675,3378953,115780000000,33741000,1169969000000,9.640000343322754,0,0
A005930,samsung,KOSPI,20000209,36453,38765,35564,38765,1268209,48030000000,33741000,1307969000000,9.350000381469727,0,0
A005930,samsung,KOSPI,20000210,40721,43389,39121,43389,920758,38696000000,33741000,1463988000000,9.430000305175781,0,0
A005930,samsung,KOSPI,20000211,48545,48545,48545,48545,311319,15113000000,33741000,1637956000000,9.470000267028809,0,0
A005930,samsung,KOSPI,20000214,46945,52991,42766,43922,7052619,329066000000,33741000,1481972000000,9.850000381469727,0,0
A005930,samsung,KOSPI,20000215,44456,46056,38676,38676,3647533,151607000000,33741000,1304966000000,10.279999732971191,0,0
A005930,samsung,KOSPI,20000216,37343,43300,35564,43300,4900834,195460000000,33741000,1460985000000,10.0600004196167,0,0
A005930,samsung,KOSPI,20000217,43744,47567,41788,43300,5735361,258547000000,33741000,1460985000000,9.899999618530273,0,0
A005930,samsung,KOSPI,20000218,44544,45611,40010,40543,5130398,220972000000,33741000,1367961000000,10.149999618530273,0,0
A005930,samsung,KOSPI,20000221,37343,40543,35831,36720,3310228,126900000000,33741000,1238969000000,10.130000114440918,0,0
A005930,samsung,KOSPI,20000222,38232,39476,33964,34853,2709161,98914000000,33741000,1175975000000,10.050000190734863,0,0
A005930,samsung,KOSPI,20000223,33253,34320,30674,32008,2595678,83990000000,33741000,1079981000000,10.569999694824219,0,0
A005930,samsung,KOSPI,20000224,35386,35831,33786,35831,1114405,38990000000,33741000,1208973000000,10.550000190734863,0,0
A005930,samsung,KOSPI,20000225,39032,39388,35209,35564,2840853,107685000000,33741000,1199964000000,10.770000457763672,0,0
A005930,samsung,KOSPI,20000228,33786,36453,32630,32719,2654388,91728000000,33741000,1103971000000,10.970000267028809,0,0
A005930,samsung,KOSPI,20000229,33964,34675,31741,32719,1560385,51704000000,33741000,1103971000000,10.850000381469727,0,0
A005930,samsung,KOSPI,20000302,33786,34675,30763,31919,1737915,56288000000,33741000,1076978000000,10.920000076293945,0,0
A005930,samsung,KOSPI,20000303,28096,29340,28096,28096,3468153,97851000000,67483000,1896002000000,9.369999885559082,0,0
A005930,samsung,KOSPI,20000306,29340,29785,25251,26140,2681994,73820000000,67483000,1764005000000,9.380000114440918,0,0
A005930,samsung,KOSPI,20000307,25162,28274,24006,27740,3284016,87435000000,67483000,1871978000000,9.300000190734863,0,0
